ID,Group,Gender,Age,Education,Condition,MinAl,MinNonAl,CV,Lags,NTrials,RobustCV,QCV
01_01_SG,1,2,24,8,1,-6.46284162393634,-4.07219144180876,14.1612167826357,198.914007092199,141,0.235849056603774,0.124378109452736
01_01_SG,1,2,24,8,3,-5.88234094459827,-4.06679323443943,18.5633478400931,134.305245535714,140,0.1953125,0.0957854406130268
01_01_SG,1,2,24,8,2,-6.93861034048438,-5.14991770898369,14.6737204303866,172.124335106383,141,0.341772151898734,0.147540983606557
01_01_SG,1,2,24,8,4,-5.82584613000305,-3.24290292703824,14.431819125424,140.403645833333,150,0.28,0.146853146853147
01_02_GO,1,2,31,14,1,-2.83573615275895,-1.09070377978524,20.0689872034833,221.588354316547,139,0.326923076923077,0.147826086956522
01_02_GO,1,2,31,14,3,-2.03070207847922,-0.29700206644727,25.4268283626561,187.159186241611,149,0.301546391752577,0.160054719562244
01_02_GO,1,2,31,14,2,-3.33721662341189,-1.94401212534619,16.3210136244908,210.506663602941,136,0.163636363636364,0.087378640776699
01_02_GO,1,2,31,14,4,-3.05628802455408,-2.0868873021589,5.60877679156549,253.585379464286,140,0.121212121212121,0.062015503875969
01_03_KS,1,2,38,15,1,-4.5078586867628,-2.40071367021037,30.1317562902359,175.795506386861,137,0.425287356321839,0.232704402515723
01_03_KS,1,2,38,15,3,-4.15261445346108,-2.65010589881539,17.3631093241013,143.638392857143,140,0.3,0.173913043478261
01_03_KS,1,2,38,15,2,-5.10985674839032,-4.12419868906001,12.4982240735132,166.777482269504,141,0.0777777777777778,0.0404624277456647
01_03_KS,1,2,38,15,4,-3.60606504564321,-2.11374972132193,13.1803945666594,160.690197841727,139,0.177777777777778,0.0975609756097561
01_04_MI,1,2,27,12,1,-6.57428725709121,-1.30065530865937,19.9741704548854,165.636660447761,134,0.452054794520548,0.192982456140351
01_04_MI,1,2,27,12,3,-5.9446092435351,-2.24099015410862,25.2349010110623,140.569196428571,140,0.358208955223881,0.169014084507042
01_04_MI,1,2,27,12,2,-7.12956745482262,-2.33635615031785,23.2110614974251,136.704898049645,141,0.194029850746269,0.0962962962962963
01_04_MI,1,2,27,12,4,-6.68165790892017,-1.20034125069383,19.5220189730352,149.62810359589,146,0.368421052631579,0.181818181818182
01_05_MN,1,1,46,12,1,-7.85768979832042,-6.82965465565845,14.3841232337442,254.55298013245,151,0.230769230769231,0.127413127413127
01_05_MN,1,1,46,12,3,-5.2414254167086,-4.85135205902727,3.83975836338986,154.852973090278,144,0.0875,0.0440251572327044
01_05_MN,1,1,46,12,2,-8.12134904556966,-7.10344487167134,15.5853669195171,196.308992346939,147,0.076530612244898,0.0383631713554987
01_05_MN,1,1,46,12,4,-8.20053146345587,-7.34072339557006,5.24967136869275,198.594281462585,147,0.07,0.0338164251207729
01_06_BZ,1,2,31,11,1,-5.13776848114321,-4.68810266799453,3.55762117685243,199.318544708029,137,0.01,0.00497512437810945
01_06_BZ,1,2,31,11,3,-4.59457753293358,-4.18912075798654,4.46157527431204,154.727909482759,145,0.0123456790123457,0.0062111801242236
01_06_BZ,1,2,31,11,2,-5.26895038738098,-4.32634388792366,7.14848970280123,183.058647260274,146,0.119565217391304,0.0588235294117647
01_06_BZ,1,2,31,11,4,-6.04896719264282,-4.52300706548945,14.6374180937581,197.994608274648,142,0.206521739130435,0.0964467005076142
01_07_NT,1,1,33,11,1,-6.67511746481182,-4.83567083965992,10.3983202236397,178.526182432432,148,0.166666666666667,0.0819672131147541
01_07_NT,1,1,33,11,3,-6.00475771549159,-5.28940966313334,9.91632520908752,152.423469387755,147,0.193333333333333,0.0909090909090909
01_07_NT,1,1,33,11,2,-5.32389442842458,-4.49616296950629,8.06381704516768,177.833897292994,157,0.155555555555556,0.0760869565217391
01_07_NT,1,1,33,11,4,-5.93657934828333,-4.46613450726869,15.3981810729022,180.484169407895,152,0.0833333333333333,0.0434782608695652
01_08_CI,1,2,40,12,1,-4.64558899200702,-0.648158403601763,11.3982175122516,195.888421474359,156,0.278350515463918,0.135678391959799
01_08_CI,1,2,40,12,3,-5.59734087312161,-2.7875506011243,13.2782565830591,132.036258012821,156,0.27027027027027,0.15625
01_08_CI,1,2,40,12,2,-5.02940654041043,-2.52259381471452,16.0741986249038,148.067299836601,153,0.305555555555556,0.170984455958549
